Line,Original,Corrected,FullContent
7,"- 다우 +0.55%, 나스닥 +1.13%, S&P 500 +0.75%, 러셀 2000 +0.63% 올랐습니다.","다우 +0.55%, 나스닥 +1.13%, S&P500 +0.75%, 러셀2000은 +0.63% 올랐습니다.","- 다우 +0.55%, 나스닥 +1.13%, S&P 500 +0.75%, 러셀 2000 +0.63% 올랐습니다. -> 다우 +0.55%, 나스닥 +1.13%, S&P500 +0.75%, 러셀2000은 +0.63% 올랐습니다. (조사 추가)"
8,- 대중국 매출 증가 기대감으로 급등했습니다,대중국 매출 증가에 대한 기대감으로 급등했습니다,- 대중국 매출 증가 기대감으로 급등했습니다 -> 대중국 매출 증가에 대한 기대감으로 급등했습니다
9,- 코로나 정책 완화 기대감,코로나 정책 완화에 대한 기대,- 코로나 정책 완화 기대감 -> 코로나 정책 완화에 대한 기대
11,- S&P 500,S&P500,- S&P 500 -> S&P500
12,- 러셀 2000,러셀2000,- 러셀 2000 -> 러셀2000
16,- 국방부,미 국방부,- 국방부 -> 미 국방부
17,- 대규모 클라우드 계약 체결,대규모 클라우드 컴퓨팅 프로젝트 관련 계약 체결,- 대규모 클라우드 계약 체결 -> 대규모 클라우드 컴퓨팅 프로젝트 관련 계약 체결
18,- 달러/원 환율은 3원 하락 출발이 예상됩니다.,"N답변F 달러/원 환율 1개월물은 1,316.10원으로 이를 반영하면 달러/원 환율은 3원 하락 출발이 예상됩니다.","- 달러/원 환율은 3원 하락 출발이 예상됩니다. -> N답변F 달러/원 환율 1개월물은 1,316.10원으로 이를 반영하면 달러/원 환율은 3원 하락 출발이 예상됩니다."
19,- '한국 증시 전망'에 '미 증시가 반발 매수세가 유입되며 ~ 긍정적인 영향을 줄 것으로 전망' 부분을 포함해야 할 듯 함,주요 내용으로 보임,- '한국 증시 전망'에 '미 증시가 반발 매수세가 유입되며 ~ 긍정적인 영향을 줄 것으로 전망' 부분을 포함해야 할 듯 함 -> 주요 내용으로 보임
24,"- '소제목'은 목록형 답변이 아니기 때문에, 4의 배수로 하위 레벨 불릿 사용할 필요 X",답변 작성하시고 툴에서 마크다운 어떻게 적용됐는지 한번 확인 필요. (현재 툴에 마크다운 제대로 적용되어 있지 않음),"- '소제목'은 목록형 답변이 아니기 때문에, 4의 배수로 하위 레벨 불릿 사용할 필요 X -> 답변 작성하시고 툴에서 마크다운 어떻게 적용됐는지 한번 확인 필요. (현재 툴에 마크다운 제대로 적용되어 있지 않음)"
25,- 대중국 마찰 완화 기대감,대중국 마찰 완화에 대한 기대,- 대중국 마찰 완화 기대감 -> 대중국 마찰 완화에 대한 기대
33,"- 조사 누락 + 이미지 정보 정확하게 작성 필요 + 띄어쓰기: 한국 증시는 장 초반 약 0.7% 상승 출발 후, 점차 상승폭이 커질것으로 보입니다.","한국 증시는 장 초반에 약 0.7% 내외 상승 출발 후, 점차 상승폭이 커질 것으로 보입니다.","- 조사 누락 + 이미지 정보 정확하게 작성 필요 + 띄어쓰기: 한국 증시는 장 초반 약 0.7% 상승 출발 후, 점차 상승폭이 커질것으로 보입니다. -> 한국 증시는 장 초반에 약 0.7% 내외 상승 출발 후, 점차 상승폭이 커질 것으로 보입니다."
39,- 아마존과 디즈니 등 개별 종목에 대한 악재도 부담이 가중되었습니다.,아마존과 디즈니 등 개별 종목에 대한 악재도 미국 증시에 부담을 가중시키는 요인으로 작용했습니다.,- 아마존과 디즈니 등 개별 종목에 대한 악재도 부담이 가중되었습니다. -> 아마존과 디즈니 등 개별 종목에 대한 악재도 미국 증시에 부담을 가중시키는 요인으로 작용했습니다.
43,- 문장 부자연스러움: U가 메타 플랫폼스에 대해 반독점 금지법을 위반했다고 고지하자 주가가 내렸습니다,U가 메타 플랫폼스에 대해 반독점 금지법을 위반했다고 고지하자 주가가 내려갔습니다.,- 문장 부자연스러움: U가 메타 플랫폼스에 대해 반독점 금지법을 위반했다고 고지하자 주가가 내렸습니다 -> U가 메타 플랫폼스에 대해 반독점 금지법을 위반했다고 고지하자 주가가 내려갔습니다.
45,"- 조사 누락: MSCI 한국 지수 ETF 0.64%, MSCI 신흥 지수 ETF는 0.08% 상승이 전망됩니다.","MSCI 한국 지수 ETF 0.64%, MSCI 신흥 지수 ETF는 0.08% 상승이 전망됩니다.","- 조사 누락: MSCI 한국 지수 ETF 0.64%, MSCI 신흥 지수 ETF는 0.08% 상승이 전망됩니다. -> MSCI 한국 지수 ETF 0.64%, MSCI 신흥 지수 ETF는 0.08% 상승이 전망됩니다."
54,"- '소제목'은 목록형 답변이 아니기 때문에, 4의 배수로 하위 레벨 불릿 사용할 필요 X",답변 작성하시고 툴에서 마크다운 어떻게 적용됐는지 한번 확인 필요. (현재 툴에 마크다운 제대로 적용되어 있지 않음),"- '소제목'은 목록형 답변이 아니기 때문에, 4의 배수로 하위 레벨 불릿 사용할 필요 X -> 답변 작성하시고 툴에서 마크다운 어떻게 적용됐는지 한번 확인 필요. (현재 툴에 마크다운 제대로 적용되어 있지 않음)"
55,- 이 정도 분량은 '요약'에 가깝다고 봐주시면 됩니다. 설명문은 좀 더 이미지의 구체적인 내용들을 많이 담고 있어야 해요 (그렇기 때문에 전체 설명문이 다른 턴들과 일부 중복되는 것은 어느 정도 감안 가능),그냥 첫 번째 턴은 전체 요약으로 고정하고 나머지 턴들을 다른 질의로 작성하시는 게 가장 쉬울 수도 있습니다.,- 이 정도 분량은 '요약'에 가깝다고 봐주시면 됩니다. 설명문은 좀 더 이미지의 구체적인 내용들을 많이 담고 있어야 해요 (그렇기 때문에 전체 설명문이 다른 턴들과 일부 중복되는 것은 어느 정도 감안 가능) -> 그냥 첫 번째 턴은 전체 요약으로 고정하고 나머지 턴들을 다른 질의로 작성하시는 게 가장 쉬울 수도 있습니다.
58,- 미국 증시의 하락 주요 요인과 한국 시장에 미친 영향을 다음과 같이 정리할 수 있습니다.,미국 증시 하락의 주요 요인과 한국 시장에 미친 영향을 다음과 같이 정리할 수 있습니다.,- 미국 증시의 하락 주요 요인과 한국 시장에 미친 영향을 다음과 같이 정리할 수 있습니다. -> 미국 증시 하락의 주요 요인과 한국 시장에 미친 영향을 다음과 같이 정리할 수 있습니다.
59,- 달러 약세 흐름 지속과,달러 약세 흐름의 지속과,- 달러 약세 흐름 지속과 -> 달러 약세 흐름의 지속과
60,- 한국 시장에서도 일부 영향을 미칠 수 있지만,한국 시장에도 일부 영향을 미칠 수 있지,- 한국 시장에서도 일부 영향을 미칠 수 있지만-> 한국 시장에도 일부 영향을 미칠 수 있지
61,- 띄어쓰기: 작용될것,작용될 것,- 띄어쓰기: 작용될것 -> 작용될 것
64,- 한국 시장에 미치는 직접적인 영향,한국 시장에 미치는 영향: 직접적인지는 이미지만으로 알 수 없음,- 한국 시장에 미치는 직접적인 영향 -> 한국 시장에 미치는 영향: 직접적인지는 이미지만으로 알 수 없음
71,- + 띄어쓰기: 테슬라가 장 초반에는 상승세를 보였으나 이후 하방 흐름으로 타게된 원인은 다음과 같습니다.,테슬라가 장 초반에는 상승세를 보였으나 이후 하방 흐름을 타게 된 원인은 다음과 같습니다.,- + 띄어쓰기: 테슬라가 장 초반에는 상승세를 보였으나 이후 하방 흐름으로 타게된 원인은 다음과 같습니다. -> 테슬라가 장 초반에는 상승세를 보였으나 이후 하방 흐름을 타게 된 원인은 다음과 같습니다.
81,- 1턴: 미국 증시 동향에 대해 설명해줘,"미 증시 동향 부분 활용해서 요약적으로 작성 (메타, 아마존, 디즈니 구체적인 % 작성 X. 2턴에서 활용할 것)","- 1턴: 미국 증시 동향에 대해 설명해줘 -> 미 증시 동향 부분 활용해서 요약적으로 작성 (메타, 아마존, 디즈니 구체적인 % 작성 X. 2턴에서 활용할 것)"
82,"- 2턴: 메타, 아마존, 디즈니에 어떤 악재가 있었는지 궁금해",특징 종목 부분 활용해서 구체적으로 작성,"- 2턴: 메타, 아마존, 디즈니에 어떤 악재가 있었는지 궁금해 -> 특징 종목 부분 활용해서 구체적으로 작성"
83,- 3턴: 미국 증시가 하락하고 있는데 그럼 한국 증시는 어떻게 될까?,"한국 증시 전망 부분 활용해서 내용 구체적으로 작성""","- 3턴: 미국 증시가 하락하고 있는데 그럼 한국 증시는 어떻게 될까? -> 한국 증시 전망 부분 활용해서 내용 구체적으로 작성"""
91,"- 결론 문장 변경: 이러한 지표들을 근거로 독일 경제가 점차 개선되고 있으며, 이는 유로화 강세와 달러 약세도 촉발할 가능성이 높다고 보고 있습니다.",제시된 지표들은 독일 경제가 점차 개선되고 있음을 시사합니다. 독일 경제의 회복세는 유로화 강세와 달러 약세로 이어질 수 있어 이러한 흐름을 주시할 필요가 있습니다.,"- 결론 문장 변경: 이러한 지표들을 근거로 독일 경제가 점차 개선되고 있으며, 이는 유로화 강세와 달러 약세도 촉발할 가능성이 높다고 보고 있습니다. -> 제시된 지표들은 독일 경제가 점차 개선되고 있음을 시사합니다. 독일 경제의 회복세는 유로화 강세와 달러 약세로 이어질 수 있어 이러한 흐름을 주시할 필요가 있습니다."
97,- 이는 유로화 강세와 달러 약세를 촉발할 가능성이 있습니다,이는 유로화 강세를 이끌어 달러 약세를 촉발할 가능성이 있습니다: 유로화 강세와 달러 약세 사이에 인과관계가 있기 때문에 이러한 표현이 더 적절할 것 같음,- 이는 유로화 강세와 달러 약세를 촉발할 가능성이 있습니다 -> 이는 유로화 강세를 이끌어 달러 약세를 촉발할 가능성이 있습니다: 유로화 강세와 달러 약세 사이에 인과관계가 있기 때문에 이러한 표현이 더 적절할 것 같음
98,- 제조업 지표가 개선되고,제조업 지표가 거의 모든 산업에서 개선되고: 필요 정보는 포함 필요,- 제조업 지표가 개선되고 -> 제조업 지표가 거의 모든 산업에서 개선되고: 필요 정보는 포함 필요
102,- 클라우드 컴퓨팅 사업의 성장세 둔화 가능성,실제로 둔화되고 있기 때문에 '가능성'이란 표현은 적절하지 않아 보임,- 클라우드 컴퓨팅 사업의 성장세 둔화 가능성 -> 실제로 둔화되고 있기 때문에 '가능성'이란 표현은 적절하지 않아 보임
103,- 향후 실적 심리를 지켜봐야 하는 상황으로 바라보고 있습니다.,누가 바라보는 건지 주어가 누락됨 + '실적 심리'란 표현은 부자연스러움,- 향후 실적 심리를 지켜봐야 하는 상황으로 바라보고 있습니다. -> 누가 바라보는 건지 주어가 누락됨 + '실적 심리'란 표현은 부자연스러움
107,- 문장 부자연스러움: 독일 IFO 기업환경지수가 지난달 86.4를 기록했던 수준과 예상치인 87.4를 상회한 88.6으로 상승했습니다.,독일 IFO 기업환경지수가는 지난달 발표된 86.4나 예상치인 87.4를 상회한 88.6으로 상승했습니다.,- 문장 부자연스러움: 독일 IFO 기업환경지수가 지난달 86.4를 기록했던 수준과 예상치인 87.4를 상회한 88.6으로 상승했습니다. -> 독일 IFO 기업환경지수가는 지난달 발표된 86.4나 예상치인 87.4를 상회한 88.6으로 상승했습니다.
115,"- '전하고 있습니다'와 같이 모델이 이미지 내용을 인용하는 것과 같은 표현 지양: 만약 이 조사가 확정될 경우, 메타는 글로벌 전체 매출의 10%에 해당하는 벌금을 부과 받을 것이라고 전하고 있습니다.","이 조사가 확정될 경우, 메타는 글로벌 전체 매출의 10%에 해당하는 벌금을 부과 받을 것으로 예상됩니다.","- '전하고 있습니다'와 같이 모델이 이미지 내용을 인용하는 것과 같은 표현 지양: 만약 이 조사가 확정될 경우, 메타는 글로벌 전체 매출의 10%에 해당하는 벌금을 부과 받을 것이라고 전하고 있습니다. -> 이 조사가 확정될 경우, 메타는 글로벌 전체 매출의 10%에 해당하는 벌금을 부과 받을 것으로 예상됩니다."
118,- 현재 상황에서는 주가에 부정적인 영향을 미칠 가능성이 높습니다.,반독점 규정 위반 조사 결과가 확정될 경우 주가에 부정적인 영향을 미칠 가능성이 높습니다.,- 현재 상황에서는 주가에 부정적인 영향을 미칠 가능성이 높습니다. -> 반독점 규정 위반 조사 결과가 확정될 경우 주가에 부정적인 영향을 미칠 가능성이 높습니다.
119,- 관련 종목,관련 종목군,- 관련 종목 -> 관련 종목군
136,답변-6) 지역 이름 오탈자,검수자 수정,답변-6) 지역 이름 오탈자 -> 검수자 수정
138,1. 계산 결과 확인 요청 (8916,8915),1. 계산 결과 확인 요청 (8916-> 8915)
142,* **상승 요인**: 그러나 시장에서는 이 같은 악재성 재료들이,인플레이션 우려와 성장률 하향 소식이 이미 주가에 반영되었다는 평가,* **상승 요인**: 그러나 시장에서는 이 같은 악재성 재료들이  -> 인플레이션 우려와 성장률 하향 소식이 이미 주가에 반영되었다는 평가
145,최근,"삭제 (문장이 어색하지 않으면, 최신, 현재 등의 단어는 삭제 부탁드립니다!)""","최근 -> 삭제 (문장이 어색하지 않으면, 최신, 현재 등의 단어는 삭제 부탁드립니다!)"""
162,결과를 낳았습니다.,"나을 것으로 전망됩니다.""","결과를 낳았습니다. -> 나을 것으로 전망됩니다."""
187,"올해, 현재, 최신","해당 단어들은 맥락에 문제되지 않는다면 삭제 부탁드립니다.""","올해, 현재, 최신 -> 해당 단어들은 맥락에 문제되지 않는다면 삭제 부탁드립니다."""
192,"- 목록형 답변 작성 시, 불릿포인트 기호(-, *) 다음 띄어쓰기 1번만 해야 함",반영 안 됨,"- 목록형 답변 작성 시, 불릿포인트 기호(-, *) 다음 띄어쓰기 1번만 해야 함 -> 반영 안 됨 (검수자 수정완료)"
196,답변-2) (검수자 수정완료,시트에도 수정 답변 적용해두었으니 추후 답변 작성 시 참고),답변-2) (검수자 수정완료 -> 시트에도 수정 답변 적용해두었으니 추후 답변 작성 시 참고)
197,- 오타: 프로마일,프로파일,- 오타: 프로마일 -> 프로파일
198,- 띄어쓰기: 이슈없이,이슈 없이 (툴 내 품질 체크 결과 확인 필요),- 띄어쓰기: 이슈없이 -> 이슈 없이 (툴 내 품질 체크 결과 확인 필요)
202,- 문장 부자연스러움: 직접 생산설비 구축 대신 파트너십을 통한 B2B 전략을 구사하고 있습니다.,직접 생산설비를 구축하는 대신 파트너십을 통한 B2B 전략을 구사하고 있습니다,- 문장 부자연스러움: 직접 생산설비 구축 대신 파트너십을 통한 B2B 전략을 구사하고 있습니다. -> 직접 생산설비를 구축하는 대신 파트너십을 통한 B2B 전략을 구사하고 있습니다
210,- 문장 부자연스러움: 유전자 공학으로 디자인된 효모/미생물을 우유와 유제품 제조에 생산 후,유전자 공학으로 디자인된 효모/미생물을 우유와 유제품 제조에 사용 후,- 문장 부자연스러움: 유전자 공학으로 디자인된 효모/미생물을 우유와 유제품 제조에 생산 후 -> 유전자 공학으로 디자인된 효모/미생물을 우유와 유제품 제조에 사용 후
211,- 사실성 오류: 조절할 수 있습니다,이미지에 없는 내용. 이미지에는 '제거해'라고만 되어 있음,- 사실성 오류: 조절할 수 있습니다 -> 이미지에 없는 내용. 이미지에는 '제거해'라고만 되어 있음
216,cf) 답변-2의 내용과 중복되는 부분이 있음,답변-2에서는 구체적인 브랜드명 삭제함,cf) 답변-2의 내용과 중복되는 부분이 있음 -> 답변-2에서는 구체적인 브랜드명 삭제함
217,- 목록형 답변에서 '입니다'는 빼는 게 더 자연스러울 것 같음,"단, 이렇게 될 경우, 모든 목록형 답변이 '브랜드'로 끝나서 반복 표현 사용에 걸릴 수 있음. 따라서 '브랜드'까지 삭제 필요","- 목록형 답변에서 '입니다'는 빼는 게 더 자연스러울 것 같음 -> 단, 이렇게 될 경우, 모든 목록형 답변이 '브랜드'로 끝나서 반복 표현 사용에 걸릴 수 있음. 따라서 '브랜드'까지 삭제 필요 (검수자 수정완료)"
266,- 표현 부자연스러움: 바이든 대통령의 중국 강경 발언,바이든 대통령의 중국 관련 강경 발언,- 표현 부자연스러움: 바이든 대통령의 중국 강경 발언 -> 바이든 대통령의 중국 관련 강경 발언
268,- 필수적인,필요한: 이미지에서 필수라고 언급한 적은 없음,- 필수적인 -> 필요한: 이미지에서 필수라고 언급한 적은 없음
281,- 오타: 두자,투자,- 오타: 두자 -> 투자
285,- 서론 문장 수정 필요: 다음은 이미지에 언급된 주요 경제지표 결과 요약입니다,이미지에 언급된 주요 경제지표 결과를 요약하면 다음과 같습니다,- 서론 문장 수정 필요: 다음은 이미지에 언급된 주요 경제지표 결과 요약입니다 -> 이미지에 언급된 주요 경제지표 결과를 요약하면 다음과 같습니다 (검수자 수정완료)
287,- 이미지에 있는 주요 정보 누락해서는 안 됨: 미국 소비자 신뢰지수는 108.0,미국 9월 소비자 신뢰지수는 108.0  => 그 외에도 '월' 정보 빠진 경우 채워넣어야 함,- 이미지에 있는 주요 정보 누락해서는 안 됨: 미국 소비자 신뢰지수는 108.0 -> 미국 9월 소비자 신뢰지수는 108.0  => 그 외에도 '월' 정보 빠진 경우 채워넣어야 함
296,- 오타: 0.81&(,"%), 당대화(->당대회)","- 오타: 0.81&(->%), 당대화(->당대회)"
298,- 문장 부자연스러움: 하락 출발 예상됩니다,하락 출발이 예상됩니다 => 조사 누락하지 않도록 주의,- 문장 부자연스러움: 하락 출발 예상됩니다 -> 하락 출발이 예상됩니다 => 조사 누락하지 않도록 주의
309,청당 건수 19.3,20.9로 수정이 필요합니다.,청당 건수 19.3 -> 20.9로 수정이 필요합니다.
315,유입될 수 있다는 점,(수정안) 유입될 수 있음,유입될 수 있다는 점 ->(수정안) 유입될 수 있음
323,답변-4)11월(이미지 기준)에 75bp 금리 인상 후 12월(이미지 기준),반복 표현으로 수정 부탁드립니다.,답변-4)11월(이미지 기준)에 75bp 금리 인상 후 12월(이미지 기준) -> 반복 표현으로 수정 부탁드립니다.
370,- 볼드체는 목록형 답변의 주요항목에만 표시함. 주요항목이 어떤 부분인지는 '자주 들어오는 질문' 참고,**2022년 대체 단백질 시장 침투율** 는 계산식의 일부이므로 볼드체 필요 없음,- 볼드체는 목록형 답변의 주요항목에만 표시함. 주요항목이 어떤 부분인지는 '자주 들어오는 질문' 참고 -> **2022년 대체 단백질 시장 침투율** 는 계산식의 일부이므로 볼드체 필요 없음
388,"- 목록형 답변의 경우, 문단 구분  X",피드백 반영 안 됨. 시트에서의 수정방향 확인 필요,"- 목록형 답변의 경우, 문단 구분  X  ->  피드백 반영 안 됨. 시트에서의 수정방향 확인 필요"
389,- 답변-6과 중복될 여지가 있어서 '산업 구조 및 투자 매력도'에서 하위 불릿으로 쓴 4가지는 삭제해도 괜찮을 것 같음,4가지가 구체적으로 무엇인지 답변에 포함할 필요가 없다는 의미였습니다!,- 답변-6과 중복될 여지가 있어서 '산업 구조 및 투자 매력도'에서 하위 불릿으로 쓴 4가지는 삭제해도 괜찮을 것 같음 -> 4가지가 구체적으로 무엇인지 답변에 포함할 필요가 없다는 의미였습니다!
394,"- 목록형 답변의 경우, 문단 구분  X",피드백 반영 안 됨. 시트에서의 수정방향 확인 필요.,"- 목록형 답변의 경우, 문단 구분  X ->  피드백 반영 안 됨. 시트에서의 수정방향 확인 필요."
410,- 이미지에 있는 그대로 표현 사용 필요: 전년 동월 대비 9.1% 상승,전년 대비 9.1% 상승 (전년 동월과 전년은 의미가 다르므로 분명하게 작성 필요) + '전년' 역시시의성 표현이기 때문에 '전년(보고서 기준)'과 같이 작성 필요,- 이미지에 있는 그대로 표현 사용 필요: 전년 동월 대비 9.1% 상승 -> 전년 대비 9.1% 상승 (전년 동월과 전년은 의미가 다르므로 분명하게 작성 필요) + '전년' 역시시의성 표현이기 때문에 '전년(보고서 기준)'과 같이 작성 필요
412,"- 본론에서 목록형 답변 작성 시, 서론과 목록형 답변 사이에 한 줄 공백 추가 필요",피드백 반영 안 됨. 시트에 수정해두었으니 수정 방향 확인해주세요.,"- 본론에서 목록형 답변 작성 시, 서론과 목록형 답변 사이에 한 줄 공백 추가 필요 -> 피드백 반영 안 됨. 시트에 수정해두었으니 수정 방향 확인해주세요."
414,- '미국' 누락됨,주요 정보 누락하지 않도록 주의 필요.,- '미국' 누락됨 -> 주요 정보 누락하지 않도록 주의 필요.
