Line,Original,Corrected,FullContent
2165,- 국내 경기,어려운 국내 정치 상황,- 국내 경기 -> 어려운 국내 정치 상황
2166,- 안장관은 ~ 밝혔습니다.,해당 구조가 계속 반복됩니다. (수정),- 안장관은 ~ 밝혔습니다. -> 해당 구조가 계속 반복됩니다. (수정)
2167,- 확보,"확보 지원을 ""","- 확보-> 확보 지원을 """
2176,-1분기,1분기(이미지 시점 기준),-1분기 -> 1분기(이미지 시점 기준)
2178,-  이슈는 불확실성을 높이는 핵심 리스크로 작용하고 있습니다.,이미지 왜곡: 미·중 무역갈등과 브렉시트 등의 이슈가 불확실성 요인으로 여전히 남아 있습니다.,-  이슈는 불확실성을 높이는 핵심 리스크로 작용하고 있습니다.-> 이미지 왜곡: 미·중 무역갈등과 브렉시트 등의 이슈가 불확실성 요인으로 여전히 남아 있습니다.
2179,- 내부 정치 부담,양국 집권층의 부담(이미지 대로),- 내부 정치 부담 -> 양국 집권층의 부담(이미지 대로)
2183,- 재고사이클과 경기 하락세,재고사이클상 경기 하락세,- 재고사이클과 경기 하락세 -> 재고사이클상 경기 하락세
2184,답변-6. 3월,"2019년 3월 ""","답변-6. 3월 -> 2019년 3월 """
2252,답변-8. 자료 기준 올해,"2018년 ""","답변-8. 자료 기준 올해 -> 2018년 """
2259,답변-4. 보고서 기준 작년,2017년,답변-4. 보고서 기준 작년 -> 2017년
2260,"- 이미지 내용을 근거로 보면, 호치민시의 저가 소형아파트 개발에 대한 전망은 긍정적으로 보입니다. (일정 부분 성공할 가능성이 높습니다",다소 애매한 표현으로 판단되어 수정하였습니다),"- 이미지 내용을 근거로 보면, 호치민시의 저가 소형아파트 개발에 대한 전망은 긍정적으로 보입니다. (일정 부분 성공할 가능성이 높습니다 -> 다소 애매한 표현으로 판단되어 수정하였습니다)"
2262,답변-8. 7년만의,"7년 만의 / 뒷부분 삭제 ""","답변-8. 7년만의 -> 7년 만의 / 뒷부분 삭제 """
2271,- 아시아,아시아 시장,- 아시아 -> 아시아 시장
2272,- 매도세가 겹치며~,매도세가 겹친다는 점 또한 하락 요인으로 작용하고 있습니다.,- 매도세가 겹치며~ -> 매도세가 겹친다는 점 또한 하락 요인으로 작용하고 있습니다.
2273,- 영향을 미쳤습니다.,"줄 수 있습니다. (이미지의도대로 작성) ""","- 영향을 미쳤습니다. -> 줄 수 있습니다. (이미지의도대로 작성) """
2276,- 줄글,구조화,- 줄글 -> 구조화
2279,답변-6. (자료 시점)현재,"현재(자료 시점) ""","답변-6. (자료 시점)현재 -> 현재(자료 시점) """
2282,- (자료 기준)최근,최근(자료 기준),- (자료 기준)최근 -> 최근(자료 기준)
2283,- 줄글,구조화 (키워드 생성 + 불릿),- 줄글 -> 구조화 (키워드 생성 + 불릿)
2284,답변-4. 영어,한국어로 수정,답변-4. 영어 -> 한국어로 수정
2288,- 줄글,"구조화 ""","- 줄글 -> 구조화 """
2291,- (자료 기준)최근,최근(자료 기준),- (자료 기준)최근 -> 최근(자료 기준)
2292,- 줄글,구조화 (키워드 생성 + 불릿),- 줄글 -> 구조화 (키워드 생성 + 불릿)
2293,답변-4. 영어,한국어로 수정,답변-4. 영어 -> 한국어로 수정
2297,- 필리핀·대만 반도체 지수가,필라델피아 반도체 지수,- 필리핀·대만 반도체 지수가 -> 필라델피아 반도체 지수
2298,- 20일,20일(자료 기준),- 20일 -> 20일(자료 기준)
2301,답변-6. 줄글,"구조화 ""","답변-6. 줄글 -> 구조화 """
2305,"- 또한, 가이드에 따르면 문장내 화살표와 같은 기호사용이 지양됩니다. (1",2) 와 같이 괄호 안에 작성되는 경우는 괜찮다고 하니 수정해주세요.,"- 또한, 가이드에 따르면 문장내 화살표와 같은 기호사용이 지양됩니다. (1->2) 와 같이 괄호 안에 작성되는 경우는 괜찮다고 하니 수정해주세요."
2314,답변-4. 줄글,불릿 구조화,답변-4. 줄글 -> 불릿 구조화
2317,-중국 경기 둔화,중국 헝다 그룹 사태 (이미지 제시된 대로),-중국 경기 둔화 -> 중국 헝다 그룹 사태 (이미지 제시된 대로)
2318,-(자료 기준)최근,최근(자료 기준),-(자료 기준)최근 -> 최근(자료 기준)
2329,- 투자 심리 개선으로 수정,"애플 주가 상승과 전기차 구매 촉진 발언으로 투자 심리가 개선될 가능성이 있습니다. ""","- 투자 심리 개선으로 수정 -> 애플 주가 상승과 전기차 구매 촉진 발언으로 투자 심리가 개선될 가능성이 있습니다. """
2336,"답변-6. 일부 문장 수정, 넘버링",불릿,"답변-6. 일부 문장 수정, 넘버링 -> 불릿"
2343,- 지난,2021년,- 지난 -> 2021년
2344,- 가격조정을 단행,가격을 조정했습니다.,- 가격조정을 단행-> 가격을 조정했습니다.
2390,- 띄어쓰기 두칸,한칸 수정,- 띄어쓰기 두칸 -> 한칸 수정
2391,-  콘택트 관련 종목군인 에너지·항공·금융 업종의 상승세가 이어졌으며,에너지·광산·금융 업종의 상승세가 이어졌으며,-  콘택트 관련 종목군인 에너지·항공·금융 업종의 상승세가 이어졌으며 -> 에너지·광산·금융 업종의 상승세가 이어졌으며
2393,- 문장 마지막 콜론,삭제,- 문장 마지막 콜론 -> 삭제
2394,- 결론 부분에 과도한 개인적 의견,삭제,- 결론 부분에 과도한 개인적 의견 -> 삭제
2402,- 전일,전일(보고서 작성일 기준),- 전일 -> 전일(보고서 작성일 기준)
2449,- 누락된 부분 추가: 자동표시기,이력번호 자동표시기,- 누락된 부분 추가: 자동표시기 -> 이력번호 자동표시기
2450,- 어색한 표현 수정: 시설 점검 및 보완 담당자를 지정하여,시설을 점검하고 보완 담당자를 지정하여,- 어색한 표현 수정: 시설 점검 및 보완 담당자를 지정하여 -> 시설을 점검하고 보완 담당자를 지정하여
2451,"- 자료에 없는 내용 삭제: 지정하여, 장비의 안정적인 운영을 관리합니다","지정합니다, 체계적으로 관리 -> 관리, 즉시 공지 -> 공지","- 자료에 없는 내용 삭제: 지정하여, 장비의 안정적인 운영을 관리합니다 -> 지정합니다, 체계적으로 관리 -> 관리, 즉시 공지 -> 공지"
2454,- 자료에 없는 내용 삭제: 확인하여 장비 운영에 필요한 자원이 원활히 공급되고 있는지 확인합니다,"확인합니다, 점검하여 데이터의 정확성과 신뢰성을 확보합니다 -> 점검합니다""","- 자료에 없는 내용 삭제: 확인하여 장비 운영에 필요한 자원이 원활히 공급되고 있는지 확인합니다 -> 확인합니다, 점검하여 데이터의 정확성과 신뢰성을 확보합니다 -> 점검합니다"""
2457,- 띄어쓰기 수정: 워밍업시,워밍업 시,- 띄어쓰기 수정: 워밍업시 -> 워밍업 시
2458,- 부정확한 내용 수정: 케이블 커버,"물기 제거기, 배관과 ~를 세척하여 -> 배관을 점검하고 ~를 세척하여","- 부정확한 내용 수정: 케이블 커버 -> 물기 제거기, 배관과 ~를 세척하여 -> 배관을 점검하고 ~를 세척하여"
2459,- 오타 수정: 수세,수세미,- 오타 수정: 수세 -> 수세미
2462,- 부정확한 내용 수정: 운행 전후 상태를 매일,"운행 전후 상태를""","- 부정확한 내용 수정: 운행 전후 상태를 매일 -> 운행 전후 상태를"""
2473,- 어색한 표현 수정: 신고 방법은 ~을 통해 가능합니다,"~을 통해 신고할 수 있습니다, 신고는 ~에 신고해야 -> 신고는 ~에 해야","- 어색한 표현 수정: 신고 방법은 ~을 통해 가능합니다 -> ~을 통해 신고할 수 있습니다, 신고는 ~에 신고해야 -> 신고는 ~에 해야"
2476,- 부정확한 내용 수정: 폐사 대상,"폐사 신고 대상""","- 부정확한 내용 수정: 폐사 대상 -> 폐사 신고 대상"""
2479,- 띄어쓰기 수정: 농업이미지,농업 이미지,- 띄어쓰기 수정: 농업이미지 -> 농업 이미지
2480,- 어색한 표현 수정: 표시 방법은 ~ 방식으로 할 수 있습니다,"표시 방법에는 ~ 방식 등이 있습니다""","- 어색한 표현 수정: 표시 방법은 ~ 방식으로 할 수 있습니다 -> 표시 방법에는 ~ 방식 등이 있습니다"""
2487,- 오타 수정: 고정번 번호의,"고정된 번호인, 입묵기기 -> 입묵기""","- 오타 수정: 고정번 번호의 -> 고정된 번호인, 입묵기기 -> 입묵기"""
2512,- 어색한 표현 수정: 이동 레일을 통해 이동하지 않고 도축장과 연접한 포장처리업소로 이동하더라도 도축장 밖으로 잠깐이라도 나갈 경우에는,"돼지도체를 도축장과 인접한 포장처리업소로 이동하더라도 도체가 도축장 밖으로 나간다면""","- 어색한 표현 수정: 이동 레일을 통해 이동하지 않고 도축장과 연접한 포장처리업소로 이동하더라도 도축장 밖으로 잠깐이라도 나갈 경우에는 -> 돼지도체를 도축장과 인접한 포장처리업소로 이동하더라도 도체가 도축장 밖으로 나간다면"""
2524,- 오타 수정: 것 전망되며,것으로 전망되며,- 오타 수정: 것 전망되며 -> 것으로 전망되며
2525,- 부정확한 내용 수정: 2022년 1분기에 사용자 수 및 광고 노출량 증가세가 둔화될,"2022년 상반기에 사용자 수 및 광고 노출량 증가세 둔화가 지속될, 소비와 -> 우호적인 미국 소비와, 2분기 -> 하반기","- 부정확한 내용 수정: 2022년 1분기에 사용자 수 및 광고 노출량 증가세가 둔화될 -> 2022년 상반기에 사용자 수 및 광고 노출량 증가세 둔화가 지속될, 소비와 -> 우호적인 미국 소비와, 2분기 -> 하반기"
2529,- 어색한 표현 수정: 2017년보다 43%p 더 하락했습니다,2017년보다 43%p 더 낮았습니다,- 어색한 표현 수정: 2017년보다 43%p 더 하락했습니다 -> 2017년보다 43%p 더 낮았습니다
2532,- 어색한 표현 수정: ~로 인해 ~에 부정적인 영향을,"~가 ~에 부정적인 영향을, ~로 인해 ~을 초래 -> ~가 ~을 초래","- 어색한 표현 수정: ~로 인해 ~에 부정적인 영향을 -> ~가 ~에 부정적인 영향을, ~로 인해 ~을 초래 -> ~가 ~을 초래"
2533,- 오타 수정:  0.2% 웃돌았습니다,"0.2%를 웃돌았습니다""","- 오타 수정:  0.2% 웃돌았습니다 -> 0.2%를 웃돌았습니다"""
2545,- 부정확한 내용 수정: IPO로 인한 수급 불안이 악재성 재료에 민감하게 반응,IPO가 수급 불균형을 야기하여 악재성 재료에 민감하게 반응,- 부정확한 내용 수정: IPO로 인한 수급 불안이 악재성 재료에 민감하게 반응 -> IPO가 수급 불균형을 야기하여 악재성 재료에 민감하게 반응
2549,- 부정확한 내용 수정: 5.2%,"4.8%, 낮았지만 -> 높았으며""","- 부정확한 내용 수정: 5.2% -> 4.8%, 낮았지만 -> 높았으며"""
2557,- 어색한 표현 수정: 부정적으로 미국 증시에 작용,"미국 증시에 부정적으로 작용""","- 어색한 표현 수정: 부정적으로 미국 증시에 작용 -> 미국 증시에 부정적으로 작용"""
2565,- 부정확한 내용 수정: 이사의 발언으로 3월 50bp 금리 인상 가능성이 제기되면서,"이사는 3월 50bp 금리 인상을 단행하지 않을 것이라고 언급했지만 50bp 인상에 대한 이야기가 나왔다는 점 때문에, 국제 유가의 급등이 인플레이션 장기화 우려를 키우며 -> 국제 유가가 2014년 이후 최고치를 기록하고 높은 인플레이션 장기화에 대한 우려가 커지면서""","- 부정확한 내용 수정: 이사의 발언으로 3월 50bp 금리 인상 가능성이 제기되면서 -> 이사는 3월 50bp 금리 인상을 단행하지 않을 것이라고 언급했지만 50bp 인상에 대한 이야기가 나왔다는 점 때문에, 국제 유가의 급등이 인플레이션 장기화 우려를 키우며 -> 국제 유가가 2014년 이후 최고치를 기록하고 높은 인플레이션 장기화에 대한 우려가 커지면서"""
2568,- 어색한 표현 수정: 기대감은 중심으로,"기대감 등은""","- 어색한 표현 수정: 기대감은 중심으로 -> 기대감 등은"""
2576,- 부정확한 내용(OCR 오류) 수정: 국채금리가,"국제 유가, 재차 안정 -> 채권 입찰, 확산이 -> 화두가","- 부정확한 내용(OCR 오류) 수정: 국채금리가 -> 국제 유가, 재차 안정 -> 채권 입찰, 확산이 -> 화두가"
2589,- 어색한 표현 수정: 독일 및 유럽 각국,독일 등 유럽 각국,- 어색한 표현 수정: 독일 및 유럽 각국 -> 독일 등 유럽 각국
2592,- 부정확한 내용 수정: 160만,"16만""","- 부정확한 내용 수정: 160만  -> 16만"""
2596,"- 어색한 표현 수정: 영향을 미치며, 특히 기술주에서 더 크게 나타납니다","영향을 미치며, 특히 기술주에서 더욱 그러합니다""","- 어색한 표현 수정: 영향을 미치며, 특히 기술주에서 더 크게 나타납니다 -> 영향을 미치며, 특히 기술주에서 더욱 그러합니다"""
2602,- 누락된 부분 추가: 밀 가격,대두 가격과 밀 가격,- 누락된 부분 추가: 밀 가격 -> 대두 가격과 밀 가격
2605,- 부정확한 내용 수정: 재료,"업종 이슈""","- 부정확한 내용 수정: 재료 -> 업종 이슈"""
2616,- 오타 수정: 의장의,"의장이""","- 오타 수정: 의장의 -> 의장이"""
2619,- 부정확한 내용 수정: 일시 중지를,일시 중지 종료를 앞두고 관련 시기를,- 부정확한 내용 수정: 일시 중지를 -> 일시 중지 종료를 앞두고 관련 시기를
2622,- 오타 수정: 시장의,"시장이""","- 오타 수정: 시장의 -> 시장이"""
2633,- 하회 한,"하회한""","- 하회 한 -> 하회한"""
2673,- 수행하는,표기하는,- 수행하는 -> 표기하는
2694,- 이력관리대상푹산물,이력관리대상축산물,- 이력관리대상푹산물 -> 이력관리대상축산물
2695,- 거래명에서,거래명세서,- 거래명에서 -> 거래명세서
2696,- 인터넷 홈페이지),인터넷 홈페이지,- 인터넷 홈페이지) -> 인터넷 홈페이지
2704,질의-3) 이력관리대상출산물,이력관리대상축산물,질의-3) 이력관리대상출산물 -> 이력관리대상축산물
2718,- 지난해,삭제,- 지난해 -> 삭제
2719,- 최근,자료 작성 시점 기준 최근,- 최근 -> 자료 작성 시점 기준 최근
2967,주요,대형,주요 -> 대형
3073,- 검영본부장이 허가한,고시한 동물용 의약품등 취급규칙에 따라 허가 받은 기기만,- 검영본부장이 허가한 -> 고시한 동물용 의약품등 취급규칙에 따라 허가 받은 기기만
3082,- 가축 전염병 예방을 위해,가축 전염볍 예방법 시행규칙 제17조와 제19조에 따라,- 가축 전염병 예방을 위해 -> 가축 전염볍 예방법 시행규칙 제17조와 제19조에 따라
3105,- 확인 및 수정,확인 후 수정,- 확인 및 수정 -> 확인 후 수정 (검수자 수정)
3110,- 전산 신고대상에 해당하는 자와 관련된 설명이 이미지와 다른 부분이 있습니다.,식육포장처리업자 중 영업자의 전년도 연간 평균 종업원이 5명 이상인자입니다 .,- 전산 신고대상에 해당하는 자와 관련된 설명이 이미지와 다른 부분이 있습니다. -> 식육포장처리업자 중 영업자의 전년도 연간 평균 종업원이 5명 이상인자입니다 .
3129,- 묶을수 있습니다,묶음번호를 구성할 수 있습니다.,- 묶을수 있습니다 -> 묶음번호를 구성할 수 있습니다.
3148,답변-2. 소나 돼지를 기르는,"이력관리대상가축을 기르는 (검수자 수정) ""","답변-2. 소나 돼지를 기르는 -> 이력관리대상가축을 기르는 (검수자 수정) """
3157,- 거쳐 신청서를 제출해야 합니다,이력지원실에 발급신청서를 제출해야합니다.,- 거쳐 신청서를 제출해야 합니다 -> 이력지원실에 발급신청서를 제출해야합니다.
3158,- 신청서의 적정성,발급신청서의 가축사육시설에 대한 적정성,- 신청서의 적정성 -> 발급신청서의 가축사육시설에 대한 적정성
3163,- 축종에 따라 신고 방법이 다릅니다,구체적으로 작성해주세요 (반려),- 축종에 따라 신고 방법이 다릅니다 -> 구체적으로 작성해주세요 (반려)
3164,- 변동 사항,변동여부 등에 대하여,- 변동 사항 -> 변동여부 등에 대하여  (검수자 수정)
3174,- 업무 처리,"포장 처리 ""","- 업무 처리 -> 포장 처리 """
3183,- 여러개를 묻는 듯한 질의는 지양됩니다.,'묶음번호가 어떻게 생성되는지에 대해 설명해줘'로 수정해주세요.,- 여러개를 묻는 듯한 질의는 지양됩니다. -> '묶음번호가 어떻게 생성되는지에 대해 설명해줘'로 수정해주세요.
3187,"질의-5. 이력관리법률에 따라 이력번호를 관리해야 하는 축산물은 구체적으로 무엇이며, 부산물은 왜 해당되지 않아?",여러개를 묻는 질의는 지양됩니다.,"질의-5. 이력관리법률에 따라 이력번호를 관리해야 하는 축산물은 구체적으로 무엇이며, 부산물은 왜 해당되지 않아? -> 여러개를 묻는 질의는 지양됩니다."
3193,답변-2. 자동 표시기,"자동 이력번호 표시기, 휴대용 표시기 -> 휴대용 이력번호 표시기(검수자 수정) ""","답변-2. 자동 표시기 -> 자동 이력번호 표시기, 휴대용 표시기 -> 휴대용 이력번호 표시기(검수자 수정) """
3201,- 이력번호 표시 원칙,속포장지와 박스 포장지의 이력번호가 다른 경우,- 이력번호 표시 원칙 -> 속포장지와 박스 포장지의 이력번호가 다른 경우
3222,- 이러한,제시된,- 이러한 -> 제시된
3241,ex) 아키텍쳐,마이크로 아키텍쳐,ex) 아키텍쳐 -> 마이크로 아키텍쳐
3251,- 최근,최근(이미지 기준) 시점이 다르기에 명확하게 표현해줘야합니다.,- 최근-> 최근(이미지 기준) 시점이 다르기에 명확하게 표현해줘야합니다.
3252,- 전력 효율성,소비전력,- 전력 효율성 -> 소비전력
3253,- 문제,스케쥴러 문제,- 문제 -> 스케쥴러 문제
3260,- 하이브리드 아키텍쳐~ 삭제,소비전력 저감을 위한 기술 개발,- 하이브리드 아키텍쳐~ 삭제-> 소비전력 저감을 위한 기술 개발
3264,답변-4. 일부 용어 및 문장 수정 : 합니다,"됩니다, 현재 삭제 등","답변-4. 일부 용어 및 문장 수정 : 합니다 -> 됩니다, 현재 삭제 등"
3277,답변-6. 원인 2 (OPEC+ 대응 가능성 부각),"OPEC+ 대응 가능성 부각""","답변-6. 원인 2 (OPEC+ 대응 가능성 부각) -> OPEC+ 대응 가능성 부각"""
3281,- 기술적 반등 기대,기술적 반등과 관련한 설명은 이미지에서 확인할 수 없습니다. 이미지에 기반한 설명으로 볼 수 없습니다.,- 기술적 반등 기대 -> 기술적 반등과 관련한 설명은 이미지에서 확인할 수 없습니다. 이미지에 기반한 설명으로 볼 수 없습니다.
3289,답변-2. 최근,최근(이미지 시점 기준),답변-2. 최근 -> 최근(이미지 시점 기준)
3290,- 줄글,불릿,- 줄글 -> 불릿
3293,답변-6. 최근,"최근(이미지 시점 기준)""","답변-6. 최근 -> 최근(이미지 시점 기준)"""
3298,- 최근,최근(이미지 시점 기준),- 최근 -> 최근(이미지 시점 기준)
3309,답변-4. 그 근거는 다음과 같습니다,서론으로 옮김,답변-4. 그 근거는 다음과 같습니다 -> 서론으로 옮김(검수자 수정)
3314,- 기술적 되돌림,"기술적 되돌림인지 확인 불가합니다. 수정해주세요 ""","- 기술적 되돌림 -> 기술적 되돌림인지 확인 불가합니다. 수정해주세요 """
3321,답변-4. 지속적인 고성장,성장을 (과도한 추론),답변-4. 지속적인 고성장 -> 성장을 (과도한 추론)
3334,답변=4. 펀더멘탈,"실제 경기 지표 , 일부 문장 수정","답변=4. 펀더멘탈 -> 실제 경기 지표 , 일부 문장 수정"
3342,- 시점을 명확히 구분해주세요 ex) 9월,9월(이미지 시점 기준),- 시점을 명확히 구분해주세요 ex) 9월 -> 9월(이미지 시점 기준)
3347,답변-4. 근거는 다음과 같습니다~,서론 부분으로 옮겨주세요,답변-4. 근거는 다음과 같습니다~ -> 서론 부분으로 옮겨주세요
3366,답변-4. (검수자 수정 완료) 제한합니다.,제한될 가능성이 있습니다.,답변-4. (검수자 수정 완료) 제한합니다. -> 제한될 가능성이 있습니다.
3367,요인이 됩니다.,요인으로 작용할 것으로 예상됩니다.,요인이 됩니다.-> 요인으로 작용할 것으로 예상됩니다.
3380,(보고서는 ~주장/언급/설명합니다,와 같은 문장으로 꼭 구성되지 않아도 될 경우에는 수정한 방식과 같이 작성되는 것을 지향합니다),(보고서는 ~주장/언급/설명합니다 ->와 같은 문장으로 꼭 구성되지 않아도 될 경우에는 수정한 방식과 같이 작성되는 것을 지향합니다)
3382,"""답변-2. 미국/유럽",미국 및 유럽,"""답변-2. 미국/유럽 -> 미국 및 유럽"
3391,답변-6. 8월,"8월(이미지 시점 기준) ""","답변-6. 8월 -> 8월(이미지 시점 기준) """
